Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_0603_1608Metric,183.757,-120.164,90.0,top
C10,1uF,C_0603_1608Metric,183.134,-126.8476,180.0,bottom
C11,1uF,C_0603_1608Metric,186.0674,-129.8956,0.0,bottom
C12,1nF,C_0603_1608Metric,182.2196,-123.0376,90.0,bottom
C13,10uF,C_0603_1608Metric,188.5188,-128.6894,270.0,bottom
C14,1uF,C_0603_1608Metric,180.594,-111.747,90.0,top
C15,1uF,C_0603_1608Metric,180.665,-107.963,-90.0,top
C16,NC,C_0603_1608Metric,175.26,-109.22,90.0,top
C17,DNI,C_0603_1608Metric,177.9524,-132.3848,0.0,top
C18,47nF/25V/C0G,C_0603_1608Metric,171.513481,-130.683281,0.0,top
C19,1uF,C_0603_1608Metric,196.0242,-115.1636,0.0,top
C2,100nF,C_0603_1608Metric,182.106,-120.151,90.0,top
C20,DNI,C_0603_1608Metric,176.936681,-129.959681,90.0,top
C21,47nF/25V/C0G,C_0603_1608Metric,171.513481,-129.108481,180.0,top
C22,DNI,C_0603_1608Metric,177.9394,-127.508,0.0,top
C23,DNI,C_0603_1608Metric,177.9394,-133.9596,0.0,top
C24,DNI,C_0603_1608Metric,177.038,-129.9464,90.0,bottom
C25,DNI,C_0603_1608Metric,177.9394,-125.9332,0.0,top
C3,1uF,C_0603_1608Metric,193.548,-112.014,90.0,top
C4,1uF,C_0603_1608Metric,193.548,-107.709,-90.0,top
C5,10uF,C_0603_1608Metric,188.214,-120.155,90.0,top
C6,100nF,C_0603_1608Metric,186.69,-120.155,90.0,top
C7,NC,C_0603_1608Metric,188.214,-109.207,90.0,top
C8,47nF,C_0603_1608Metric,191.8208,-132.334,0.0,top
C9,47nF,C_0603_1608Metric,191.8208,-129.032,0.0,top
FB1,TBD/0R,R_0603_1608Metric,196.342,-106.6292,180.0,top
FB2,TBD/0R,R_0603_1608Metric,183.0832,-106.7308,180.0,top
J1,Conn_01x01,Mounting_Wuerth_WA-SMSI-M3_H6mm_9774060360,162.5,-135.5,0.0,top
J2,Conn_01x01,Mounting_Wuerth_WA-SMSI-M3_H6mm_9774060360,162.6616,-124.714,0.0,top
J3,Conn_01x01,Mounting_Wuerth_WA-SMSI-M3_H6mm_9774060360,162.483519,-107.771919,0.0,top
J4,Conn_01x12,PinHeader_1x12_P2.54mm_Vertical,200.787,-123.698,0.0,top
R1,NC,R_0603_1608Metric,190.754,-112.776,180.0,top
R10,NC,R_0603_1608Metric,173.736,-109.22,90.0,top
R11,DNP,R_0603_1608Metric,186.0804,-128.3716,180.0,bottom
R12,22R,R_0603_1608Metric,196.342,-136.3472,0.0,top
R13,0R,R_0603_1608Metric,174.562281,-130.683281,180.0,top
R14,51K/0.05%,R_0603_1608Metric,171.514281,-132.207281,180.0,top
R15,0R,R_0603_1608Metric,174.574481,-129.108481,180.0,top
R16,51K/0.05%,R_0603_1608Metric,171.514281,-127.584481,0.0,top
R17,0R,R_0603_1608Metric,176.3146,-135.4836,180.0,top
R18,0R,R_0603_1608Metric,176.276,-124.4092,180.0,top
R2,NC,R_0603_1608Metric,186.69,-109.22,90.0,top
R3,200K,R_0603_1608Metric,176.3268,-121.2596,180.0,top
R4,22R,R_0603_1608Metric,196.342,-123.9012,0.0,top
R5,NC,R_0603_1608Metric,177.8,-112.522,180.0,top
R6,22R,R_0603_1608Metric,196.342,-126.3904,0.0,top
R7,22R,R_0603_1608Metric,196.342,-128.8796,0.0,top
R8,22R,R_0603_1608Metric,196.342,-131.3688,0.0,top
R9,22R,R_0603_1608Metric,196.342,-133.858,0.0,top
U1,ADP151_3V3,TSOT-23-5,190.947,-109.7335,-90.0,top
U2,MAX30001CWV_T,BGA30N50P5X6_274X292X69N,185.289,-125.111,180.0,top
U3,ADP151_3V3,TSOT-23-5,177.876,-109.6065,-90.0,top
U4,SIT1533AI-H4-DCC-32.768E,SIT1533AI_2X1.2MM,195.1332,-117.4,-90.0,top
